Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Path optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,2,9.8663254906,9.9792318014,13685.754712,14249.17635,27934.931062,27343.75,27587.890625,1823894.5728,1810421.6053,1810421.6053,1811088.5995,1809872.6587,1809645.3965,1823331.1512,1809645.3965,1809872.6587,2000000
1,2,9.2191517162,10.354287088,2319.7830708,15778.275585,18098.058656,26855.46875,14038.085938,1823894.5728,1810421.6053,1810421.6053,1811088.5995,1809872.6587,1809645.3965,1807552.8756,1809645.3965,1807552.8756,2000000
1,2,9.050523103,10.902058847,3425.4803323,16898.447823,20323.928155,13549.804688,13549.804688,1806996.125,1810421.6053,1806996.125,1811088.5995,1809872.6587,1809645.3965,1807552.8756,1809645.3965,1807552.8756,2000000
1,2,9.5807995473,9.8720157018,10701.454403,13570.184136,24271.638538,27099.609375,27099.609375,1806996.125,1796851.4212,1806996.125,1811088.5995,1809872.6587,1809645.3965,1796851.4212,1809645.3965,1807552.8756,2000000
1,2,9.2191517162,9.8335890275,11473.724308,15009.448211,26483.172519,26855.46875,14038.085938,1806996.125,1796851.4212,1806996.125,1796079.1513,1809872.6587,1809645.3965,1796851.4212,1809645.3965,1796079.1513,2000000
1,2,9.2191517162,9.5259194272,657.74382981,14451.251208,15108.995038,26855.46875,27832.03125,1806996.125,1796851.4212,1806996.125,1796079.1513,1795421.4074,1809645.3965,1796851.4212,1809645.3965,1795421.4074,2000000
1,2,9.050523103,9.5063192371,11029.029083,13678.300556,24707.329639,13549.804688,13549.804688,1806996.125,1796851.4212,1795967.0959,1796079.1513,1795421.4074,1809645.3965,1796851.4212,1795967.0959,1795421.4074,2000000
1,2,9.0385209968,11.023919939,4167.5020755,16961.477351,21128.979427,13427.734375,13427.734375,1806996.125,1792683.9191,1795967.0959,1796079.1513,1795421.4074,1792683.9191,1796851.4212,1795967.0959,1795421.4074,2000000
1,2,9.8663254906,10.564773184,2297.7516053,16609.957484,18907.709089,27343.75,15991.210938,1790386.1675,1792683.9191,1795967.0959,1796079.1513,1795421.4074,1790386.1675,1796851.4212,1795967.0959,1795421.4074,2000000
1,2,9.5807995473,9.6069536304,13592.260877,14476.586157,28068.847034,27099.609375,27099.609375,1790386.1675,1792683.9191,1782374.835,1796079.1513,1795421.4074,1790386.1675,1782374.835,1795967.0959,1795421.4074,2000000
1,2,9.5235999572,9.649653278,13700.565051,13812.620426,27513.185478,27099.609375,27343.75,1790386.1675,1792683.9191,1782374.835,1782266.5308,1795421.4074,1790386.1675,1782374.835,1782266.5308,1795421.4074,2000000
1,2,9.8474174913,9.8687121662,9069.9494569,14105.189403,23175.13886,27099.609375,28076.171875,1781316.218,1792683.9191,1782374.835,1782266.5308,1781316.218,1790386.1675,1782374.835,1782266.5308,1795421.4074,2000000
1,2,9.2006716288,9.5443995146,434.8916548,14540.081057,14974.972712,26855.46875,13916.015625,1781316.218,1792683.9191,1782374.835,1782266.5308,1780881.3264,1790386.1675,1782374.835,1782266.5308,1780881.3264,2000000
1,2,9.8663254906,10.196115446,11474.032446,13771.784051,25245.816496,27343.75,27343.75,1781316.218,1778912.1351,1782374.835,1782266.5308,1780881.3264,1778912.1351,1782374.835,1782266.5308,1780881.3264,2000000
1,2,9.8663254906,9.8663353139,10206.160931,13668.8609,23875.021832,27343.75,27343.75,1781316.218,1778912.1351,1768705.9741,1782266.5308,1780881.3264,1768705.9741,1782374.835,1782266.5308,1780881.3264,2000000
1,1,9.0843854457,9.0843854457,13597.614524,13597.614524,13597.614524,27099.609375,13549.804688,1781316.218,1778912.1351,1768705.9741,1782266.5308,1780881.3264,1768705.9741,1782374.835,1768668.9163,1780881.3264,2000000
0,1,9.2006716288,0.42206087335,13587.046252,14972.250713,28559.296966,26855.46875,13916.015625,1781316.218,1778912.1351,1768705.9741,1767294.2801,1767294.2801,1768705.9741,1782374.835,1768668.9163,1780881.3264,2000000
1,1,9.5807995473,9.5807995473,15121.466191,15121.466191,15121.466191,27099.609375,15136.71875,1781316.218,1778912.1351,1768705.9741,1767294.2801,1767294.2801,1768705.9741,1767253.3688,1768668.9163,1780881.3264,2000000
1,2,9.2006716288,9.5443995146,755.06957769,14342.11583,15097.185408,26855.46875,13916.015625,1781316.218,1778912.1351,1768705.9741,1767294.2801,1766539.2106,1768705.9741,1767253.3688,1768668.9163,1766539.2106,2000000
1,2,9.8474174913,9.8565854313,13578.185325,15982.268314,29560.453639,27099.609375,27099.609375,1765333.9497,1765333.9497,1768705.9741,1767294.2801,1766539.2106,1768705.9741,1767253.3688,1768668.9163,1766539.2106,2000000
1,2,9.8474174913,10.105164458,10343.753612,13715.778006,24059.531617,27099.609375,27343.75,1754990.1961,1765333.9497,1754990.1961,1767294.2801,1766539.2106,1768705.9741,1767253.3688,1768668.9163,1766539.2106,2000000
1,2,9.5807995473,9.6465599277,12296.562747,13712.11024,26008.672987,27099.609375,27343.75,1754990.1961,1765333.9497,1754990.1961,1767294.2801,1766539.2106,1768705.9741,1754956.8061,1754956.8061,1766539.2106,2000000
0,0,9.2006716288,0,13908.908579,13908.908579,13908.908579,26855.46875,13916.015625,1754990.1961,1765333.9497,1754990.1961,1767294.2801,1752630.302,1768705.9741,1754956.8061,1754956.8061,1766539.2106,2000000
1,1,9.8663254906,9.8663254906,16085.033578,16085.033578,16085.033578,27343.75,15991.210938,1754990.1961,1765333.9497,1754990.1961,1767294.2801,1752630.302,1752620.9405,1754956.8061,1754956.8061,1766539.2106,2000000
1,2,9.2006716288,9.5443995146,534.86032165,14443.768901,14978.629223,26855.46875,13916.015625,1754990.1961,1765333.9497,1754990.1961,1767294.2801,1752095.4417,1752620.9405,1754956.8061,1754956.8061,1752095.4417,2000000
1,2,9.8474174913,9.8658871918,2785.0186218,15089.10264,17874.121262,27099.609375,30029.296875,1752205.1775,1765333.9497,1754990.1961,1752205.1775,1752095.4417,1752620.9405,1754956.8061,1754956.8061,1752095.4417,2000000
1,2,9.5235999572,9.5237973943,962.51505111,14091.287285,15053.802336,27099.609375,27099.609375,1752205.1775,1751242.6624,1754990.1961,1751242.6624,1752095.4417,1752620.9405,1754956.8061,1754956.8061,1752095.4417,2000000
1,2,9.8474174913,10.105164458,10908.503913,13693.522534,24602.026447,27099.609375,27343.75,1741296.6736,1751242.6624,1741296.6736,1751242.6624,1752095.4417,1752620.9405,1754956.8061,1754956.8061,1752095.4417,2000000
1,2,9.5235999572,9.649653278,9940.5253667,13654.669008,23595.194375,27099.609375,27343.75,1741296.6736,1751242.6624,1741296.6736,1741302.1371,1752095.4417,1752620.9405,1754956.8061,1741302.1371,1752095.4417,2000000
1,2,9.050523103,10.137230075,1913.0456619,15573.178165,17486.223827,13549.804688,13549.804688,1741296.6736,1751242.6624,1739383.6279,1741302.1371,1752095.4417,1752620.9405,1739383.6279,1741302.1371,1752095.4417,2000000
1,2,9.2191517162,9.5259194272,14009.063895,14009.063895,28018.12779,26855.46875,27832.03125,1741296.6736,1751242.6624,1739383.6279,1741302.1371,1738086.3778,1752620.9405,1739383.6279,1741302.1371,1738086.3778,2000000
1,2,9.5235999572,9.5237973943,3719.8226805,13660.348047,17380.170728,27099.609375,27099.609375,1741296.6736,1737582.3144,1739383.6279,1737582.3144,1738086.3778,1752620.9405,1739383.6279,1741302.1371,1738086.3778,2000000
1,2,9.5235999572,10.751521734,2121.0721611,17159.698309,19280.77047,27099.609375,14892.578125,1741296.6736,1737582.3144,1739383.6279,1735461.2422,1738086.3778,1735461.2422,1739383.6279,1741302.1371,1738086.3778,2000000
1,2,9.8474174913,9.8884308833,13710.160577,13715.624072,27425.784649,27099.609375,27343.75,1727586.513,1737582.3144,1739383.6279,1735461.2422,1738086.3778,1735461.2422,1739383.6279,1727586.513,1738086.3778,2000000
1,2,9.5235999572,9.9675807632,9745.0216239,13667.407309,23412.428933,27099.609375,27343.75,1727586.513,1737582.3144,1725716.2206,1725716.2206,1738086.3778,1735461.2422,1739383.6279,1727586.513,1738086.3778,2000000
1,2,9.5235999572,9.5291407865,1790.5991059,14160.756256,15951.355361,27099.609375,28076.171875,1727586.513,1737582.3144,1725716.2206,1723925.6215,1738086.3778,1735461.2422,1739383.6279,1727586.513,1723925.6215,2000000
1,1,9.5807995473,9.5807995473,15075.224314,15075.224314,15075.224314,27099.609375,15136.71875,1727586.513,1737582.3144,1725716.2206,1723925.6215,1738086.3778,1735461.2422,1724308.4036,1727586.513,1723925.6215,2000000
1,1,9.2006716288,9.2006716288,13897.052947,13897.052947,13897.052947,26855.46875,13916.015625,1727586.513,1737582.3144,1725716.2206,1723925.6215,1724189.3248,1735461.2422,1724308.4036,1727586.513,1723925.6215,2000000
1,2,9.8663254906,10.196115446,11651.656289,13772.728451,25424.38474,27343.75,27343.75,1727586.513,1723809.5859,1725716.2206,1723925.6215,1724189.3248,1723809.5859,1724308.4036,1727586.513,1723925.6215,2000000
1,2,9.2191517162,9.5131888568,9995.9066188,13656.798118,23652.704737,26855.46875,27343.75,1727586.513,1723809.5859,1725716.2206,1723925.6215,1724189.3248,1723809.5859,1724308.4036,1713929.7149,1713929.7149,2000000
1,2,9.8663254906,9.8663353139,11678.641604,13585.27627,25263.917874,27343.75,27343.75,1727586.513,1723809.5859,1712130.9443,1723925.6215,1724189.3248,1712130.9443,1724308.4036,1713929.7149,1713929.7149,2000000
1,2,9.0385209968,10.665481926,12309.919529,16086.846588,28396.766116,13427.734375,13427.734375,1711499.6664,1711499.6664,1712130.9443,1723925.6215,1724189.3248,1712130.9443,1724308.4036,1713929.7149,1713929.7149,2000000
