Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,4,1.41421356,1.56066017,3399.99939,12925.0549,27963.6635,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,79635.3788,82667.0542,82667.0542,79267.0548,84132.2243,84012.419,79635.3788,82770.3751,79267.0548,82667.0542,86695.7897,82547.2607,82547.2607,79635.3788,100000
1,1,0.25,0.25,625.653975,625.653975,625.653975,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,79635.3788,82667.0542,82667.0542,79267.0548,84132.2243,84012.419,79635.3788,82770.3751,79267.0548,82041.4002,86695.7897,82547.2607,82547.2607,79635.3788,100000
1,3,0.559016994,0.75,870.853873,5736.0234,10252.0766,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,79635.3788,82667.0542,82667.0542,78396.2009,78396.2009,84012.419,79635.3788,82770.3751,79267.0548,78396.2009,86695.7897,82547.2607,82547.2607,79635.3788,100000
1,1,0.5,0.5,2488.91277,2488.91277,2488.91277,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,79635.3788,82667.0542,82667.0542,78396.2009,78396.2009,84012.419,79635.3788,82770.3751,79267.0548,78396.2009,86695.7897,82547.2607,80058.348,79635.3788,100000
1,2,0.5,0.5,1244.08034,1244.08034,2488.16067,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,79635.3788,82667.0542,82667.0542,78396.2009,77152.1206,84012.419,79635.3788,82770.3751,79267.0548,77152.1206,86695.7897,82547.2607,80058.348,79635.3788,100000
1,4,1.11803399,1.20710678,2313.62551,5448.6218,15421.1737,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,77321.7533,77321.7533,82667.0542,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,79267.0548,77152.1206,86695.7897,82547.2607,80058.348,77321.7533,100000
1,1,0.707106781,0.707106781,4974.95822,4974.95822,4974.95822,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,84132.2243,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,79267.0548,77152.1206,86695.7897,82547.2607,80058.348,77321.7533,100000
1,1,0.75,0.75,5597.17557,5597.17557,5597.17557,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,83535.8247,83535.8247,78535.0488,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,79267.0548,77152.1206,86695.7897,82547.2607,80058.348,77321.7533,100000
1,2,0.901387819,0.912570385,2349.24158,6618.0115,8967.25309,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,76917.8132,83535.8247,78535.0488,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,76917.8132,77152.1206,86695.7897,82547.2607,80058.348,77321.7533,100000
1,2,0.75,1.04056942,2914.38657,7915.16254,10829.5491,79267.0548,79267.0548,87402.3438,85433.8706,85433.8706,79635.3788,83535.8247,76917.8132,75620.6622,75620.6622,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,76917.8132,77152.1206,86695.7897,82547.2607,80058.348,77321.7533,100000
1,2,1,1,1464.09379,9745.84375,11209.9375,79267.0548,79267.0548,87402.3438,85433.8706,75688.0268,79635.3788,83535.8247,76917.8132,75620.6622,75620.6622,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,76917.8132,75688.0268,86695.7897,82547.2607,80058.348,77321.7533,100000
1,1,1.11803399,1.11803399,12440.3238,12440.3238,12440.3238,79267.0548,79267.0548,74962.0199,85433.8706,75688.0268,79635.3788,83535.8247,76917.8132,75620.6622,75620.6622,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,76917.8132,75688.0268,86695.7897,82547.2607,80058.348,77321.7533,100000
1,1,0.5,0.5,2492.05063,2492.05063,2492.05063,79267.0548,79267.0548,74962.0199,85433.8706,75688.0268,79635.3788,83535.8247,76917.8132,75620.6622,75620.6622,77321.7533,77321.7533,77692.096,78396.2009,77152.1206,84012.419,79635.3788,77321.7533,76917.8132,75688.0268,86695.7897,82547.2607,77566.2973,77321.7533,100000
1,4,1.11803399,1.35355339,1802.67553,12274.5262,23072.527,79267.0548,79267.0548,73159.3444,73159.3444,75688.0268,79635.3788,83535.8247,76917.8132,75620.6622,75620.6622,77321.7533,77321.7533,77692.096,73159.3444,77152.1206,84012.419,79635.3788,77321.7533,73159.3444,75688.0268,86695.7897,82547.2607,77566.2973,77321.7533,100000
1,4,1.06066017,1.5,2433.19168,8647.26311,23485.9711,79267.0548,79267.0548,73159.3444,73159.3444,75688.0268,79635.3788,74888.5616,76917.8132,75620.6622,75620.6622,77321.7533,77321.7533,77692.096,73159.3444,77152.1206,84012.419,74888.5616,77321.7533,73159.3444,75688.0268,86695.7897,74888.5616,77566.2973,74888.5616,100000
1,4,1,1,2196.25434,3727.71275,10451.205,79267.0548,79267.0548,73159.3444,73159.3444,73424.4078,79635.3788,74888.5616,76917.8132,75620.6622,73424.4078,77321.7533,77321.7533,77692.096,73159.3444,73424.4078,84012.419,74888.5616,77321.7533,73159.3444,73424.4078,86695.7897,74888.5616,77566.2973,74888.5616,100000
1,4,0.901387819,1.10355339,1587.69051,4391.22487,14020.6798,79267.0548,79267.0548,73159.3444,73159.3444,73424.4078,79635.3788,74888.5616,76917.8132,75620.6622,73424.4078,77321.7533,73300.8711,73300.8711,73159.3444,73424.4078,84012.419,74888.5616,73300.8711,73159.3444,73424.4078,86695.7897,74888.5616,77566.2973,73300.8711,100000
1,4,1.11803399,1.20710678,2991.74565,6750.21447,15990.5149,79267.0548,79267.0548,70167.5987,73159.3444,73424.4078,79635.3788,74888.5616,70167.5987,75620.6622,73424.4078,77321.7533,73300.8711,73300.8711,70167.5987,73424.4078,84012.419,74888.5616,73300.8711,73159.3444,70167.5987,86695.7897,74888.5616,77566.2973,73300.8711,100000
