Success,Sent messages,Starting distance,One used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,5,0.559016994,25.1054764,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99576.6401,99487.4001,99856.2336,99744.4153,99814.6057,99747.6697,99762.5232,99772.8825,99681.9496,99556.2315,99649.2028,100000
1,2,0.25,59.3662262,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99576.6401,99487.4001,99856.2336,99744.4153,99814.6057,99747.6697,99762.5232,99772.8825,99681.9496,99556.2315,99589.8366,100000
1,4,0.559016994,25.1054764,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99551.5347,99462.2946,99856.2336,99744.4153,99814.6057,99747.6697,99737.4177,99772.8825,99681.9496,99556.2315,99589.8366,100000
1,3,0.5,45.9432602,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99551.5347,99416.3513,99856.2336,99744.4153,99814.6057,99747.6697,99691.4744,99772.8825,99681.9496,99556.2315,99589.8366,100000
0,2,0.25,59.3662262,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99551.5347,99416.3513,99856.2336,99744.4153,99814.6057,99747.6697,99632.1082,99772.8825,99681.9496,99556.2315,99589.8366,100000
1,3,0.5,45.9432602,100000,99897.5754,99803.4477,99752.8076,99645.6146,99948.7877,99846.3631,99680.1376,99665.5464,99466.3715,99854.66,99818.6111,99750.3281,99551.5347,99370.4081,99856.2336,99744.4153,99814.6057,99747.6697,99586.165,99772.8825,99681.9496,99556.2315,99589.8366,100000
1,9,1.11803399,47.0638275,100000,99897.5754,99756.3839,99705.7438,99598.5508,99948.7877,99846.3631,99633.0738,99618.4826,99419.3077,99854.66,99818.6111,99750.3281,99504.4708,99370.4081,99856.2336,99744.4153,99814.6057,99700.6059,99586.165,99772.8825,99681.9496,99556.2315,99589.8366,100000
1,4,1,79.202652,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99633.0738,99618.4826,99340.1051,99854.66,99818.6111,99750.3281,99504.4708,99370.4081,99856.2336,99744.4153,99814.6057,99700.6059,99506.9623,99772.8825,99681.9496,99556.2315,99589.8366,100000
1,7,1.11803399,47.0638275,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99633.0738,99618.4826,99340.1051,99807.5962,99771.5473,99703.2642,99504.4708,99370.4081,99856.2336,99697.3515,99767.5419,99700.6059,99506.9623,99725.8186,99681.9496,99556.2315,99589.8366,100000
1,8,0.901387819,36.0488892,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99597.0249,99582.4337,99304.0562,99807.5962,99771.5473,99667.2153,99504.4708,99334.3592,99856.2336,99697.3515,99767.5419,99700.6059,99506.9623,99725.8186,99681.9496,99520.1826,99553.7877,100000
1,2,0.25,59.3662262,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99597.0249,99582.4337,99304.0562,99807.5962,99771.5473,99667.2153,99504.4708,99334.3592,99856.2336,99697.3515,99767.5419,99700.6059,99506.9623,99725.8186,99681.9496,99520.1826,99494.4215,100000
0,4,0.790569415,35.8104706,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99597.0249,99582.4337,99304.0562,99807.5962,99771.5473,99667.2153,99504.4708,99334.3592,99856.2336,99661.541,99767.5419,99664.7954,99506.9623,99725.8186,99646.1391,99520.1826,99494.4215,100000
1,2,0.25,59.3662262,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99597.0249,99582.4337,99304.0562,99807.5962,99771.5473,99667.2153,99504.4708,99334.3592,99856.2336,99661.541,99767.5419,99664.7954,99447.5961,99725.8186,99646.1391,99520.1826,99494.4215,100000
1,3,0.75,60.0814819,100000,99897.5754,99756.3839,99705.7438,99519.3481,99948.7877,99846.3631,99597.0249,99582.4337,99304.0562,99807.5962,99771.5473,99667.2153,99504.4708,99334.3592,99856.2336,99661.541,99767.5419,99664.7954,99447.5961,99725.8186,99586.0577,99460.1011,99494.4215,100000
1,6,1.03077641,49.6387482,100000,99897.5754,99756.3839,99656.105,99469.7094,99948.7877,99846.3631,99597.0249,99532.795,99304.0562,99807.5962,99771.5473,99667.2153,99454.8321,99334.3592,99856.2336,99661.541,99767.5419,99664.7954,99397.9573,99725.8186,99586.0577,99460.1011,99494.4215,100000
1,3,0.790569415,35.8104706,100000,99897.5754,99756.3839,99656.105,99469.7094,99948.7877,99846.3631,99597.0249,99496.9845,99304.0562,99807.5962,99771.5473,99667.2153,99454.8321,99298.5487,99856.2336,99661.541,99767.5419,99664.7954,99397.9573,99725.8186,99586.0577,99460.1011,99494.4215,100000
0,7,1.06066017,42.0331955,100000,99897.5754,99756.3839,99656.105,99469.7094,99948.7877,99804.3299,99554.9917,99496.9845,99304.0562,99807.5962,99771.5473,99625.1822,99412.7989,99256.5155,99856.2336,99619.5078,99767.5419,99664.7954,99397.9573,99725.8186,99586.0577,99460.1011,99494.4215,100000
1,8,1.06066017,42.0331955,100000,99897.5754,99756.3839,99656.105,99469.7094,99948.7877,99762.2967,99512.9585,99454.9513,99304.0562,99807.5962,99729.5141,99583.149,99370.7657,99256.5155,99856.2336,99577.4746,99767.5419,99664.7954,99397.9573,99725.8186,99586.0577,99460.1011,99494.4215,100000
1,2,0.25,59.3662262,100000,99897.5754,99756.3839,99656.105,99469.7094,99948.7877,99762.2967,99512.9585,99454.9513,99304.0562,99807.5962,99729.5141,99583.149,99370.7657,99256.5155,99856.2336,99577.4746,99767.5419,99664.7954,99338.5911,99725.8186,99586.0577,99460.1011,99494.4215,100000
1,10,1.41421356,58.889389,99941.1106,99838.686,99756.3839,99597.2157,99469.7094,99889.8983,99703.4073,99512.9585,99454.9513,99245.1668,99807.5962,99670.6247,99583.149,99370.7657,99256.5155,99856.2336,99518.5852,99767.5419,99664.7954,99338.5911,99666.9292,99586.0577,99460.1011,99494.4215,100000
0,2,0.5,45.9432602,99941.1106,99838.686,99756.3839,99597.2157,99469.7094,99889.8983,99703.4073,99512.9585,99454.9513,99245.1668,99807.5962,99670.6247,99583.149,99370.7657,99256.5155,99856.2336,99518.5852,99767.5419,99664.7954,99338.5911,99666.9292,99586.0577,99414.1579,99494.4215,100000
1,3,0.5,45.9432602,99941.1106,99838.686,99756.3839,99597.2157,99469.7094,99889.8983,99703.4073,99512.9585,99454.9513,99245.1668,99807.5962,99670.6247,99583.149,99370.7657,99256.5155,99856.2336,99518.5852,99767.5419,99664.7954,99338.5911,99666.9292,99586.0577,99368.2146,99448.4782,100000
1,2,0.5,45.9432602,99941.1106,99838.686,99756.3839,99597.2157,99469.7094,99889.8983,99703.4073,99512.9585,99454.9513,99245.1668,99807.5962,99670.6247,99583.149,99370.7657,99210.5722,99856.2336,99518.5852,99767.5419,99664.7954,99338.5911,99666.9292,99586.0577,99368.2146,99448.4782,100000
1,7,1.03077641,49.6387482,99941.1106,99838.686,99756.3839,99547.5769,99420.0706,99889.8983,99703.4073,99512.9585,99405.3125,99195.528,99807.5962,99670.6247,99583.149,99370.7657,99160.9335,99856.2336,99518.5852,99767.5419,99664.7954,99288.9524,99666.9292,99586.0577,99368.2146,99448.4782,100000
1,9,0.901387819,36.0488892,99941.1106,99838.686,99756.3839,99547.5769,99420.0706,99889.8983,99703.4073,99476.9096,99369.2636,99195.528,99807.5962,99670.6247,99547.1001,99334.7168,99124.8846,99856.2336,99518.5852,99731.493,99664.7954,99288.9524,99666.9292,99586.0577,99332.1657,99412.4293,100000
1,8,1.25,51.2123108,99941.1106,99787.4737,99705.1716,99547.5769,99420.0706,99889.8983,99652.195,99425.6973,99318.0513,99195.528,99807.5962,99670.6247,99495.8878,99334.7168,99124.8846,99856.2336,99518.5852,99731.493,99664.7954,99288.9524,99666.9292,99586.0577,99332.1657,99361.217,100000
1,7,0.901387819,36.0488892,99941.1106,99787.4737,99705.1716,99547.5769,99420.0706,99889.8983,99652.195,99425.6973,99318.0513,99195.528,99807.5962,99634.5758,99459.8389,99298.6679,99124.8846,99856.2336,99518.5852,99695.4441,99628.7465,99288.9524,99666.9292,99586.0577,99296.1168,99361.217,100000
1,4,0.559016994,25.1054764,99941.1106,99787.4737,99705.1716,99547.5769,99420.0706,99889.8983,99652.195,99425.6973,99318.0513,99195.528,99807.5962,99634.5758,99459.8389,99273.5624,99099.7791,99856.2336,99518.5852,99695.4441,99603.641,99288.9524,99666.9292,99586.0577,99296.1168,99361.217,100000
1,3,0.5,45.9432602,99941.1106,99787.4737,99705.1716,99547.5769,99420.0706,99889.8983,99652.195,99425.6973,99318.0513,99195.528,99807.5962,99634.5758,99459.8389,99273.5624,99053.8359,99856.2336,99518.5852,99695.4441,99603.641,99243.0091,99666.9292,99586.0577,99296.1168,99361.217,100000
1,8,1.06066017,42.0331955,99941.1106,99787.4737,99705.1716,99547.5769,99420.0706,99889.8983,99610.1618,99425.6973,99276.0181,99195.528,99807.5962,99592.5426,99417.8057,99273.5624,99053.8359,99856.2336,99518.5852,99653.4109,99603.641,99243.0091,99666.9292,99544.0245,99296.1168,99319.1838,100000
1,8,1.03077641,49.6387482,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99610.1618,99425.6973,99226.3794,99145.8893,99807.5962,99592.5426,99417.8057,99223.9237,99004.1971,99856.2336,99518.5852,99653.4109,99603.641,99193.3703,99666.9292,99544.0245,99296.1168,99319.1838,100000
1,5,0.790569415,35.8104706,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99610.1618,99425.6973,99190.5689,99145.8893,99807.5962,99592.5426,99417.8057,99188.1132,98968.3867,99856.2336,99518.5852,99653.4109,99603.641,99157.5599,99666.9292,99544.0245,99296.1168,99319.1838,100000
1,2,0.5,45.9432602,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99610.1618,99425.6973,99190.5689,99145.8893,99807.5962,99592.5426,99417.8057,99188.1132,98968.3867,99856.2336,99518.5852,99653.4109,99603.641,99157.5599,99666.9292,99544.0245,99250.1736,99319.1838,100000
1,4,0.790569415,35.8104706,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99610.1618,99425.6973,99190.5689,99145.8893,99807.5962,99592.5426,99417.8057,99188.1132,98968.3867,99856.2336,99482.7747,99653.4109,99603.641,99157.5599,99666.9292,99508.214,99214.3631,99319.1838,100000
1,9,0.901387819,36.0488892,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99610.1618,99425.6973,99190.5689,99145.8893,99807.5962,99556.4938,99381.7568,99188.1132,98932.3378,99856.2336,99446.7258,99617.362,99567.5921,99157.5599,99666.9292,99472.1651,99178.3142,99319.1838,100000
