Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,1,0.1674478818,0.1674478818,12.1958592,12.1958592,12.1958592,12.20703125,199524.3503,199317.3763,199366.0631,199524.3503,199220.0467,199293.0263,199232.2069,199378.215,199804.7612,200000
1,2,0.8719440632,0.9824654905,60.80084438,206.8090124,267.6098568,146.484375,199524.3503,199317.3763,199366.0631,199524.3503,199220.0467,199293.0263,199171.406,199171.406,199804.7612,200000
1,2,0.815818586,0.8191942223,60.88999948,60.88999948,121.779999,122.0703125,199463.4603,199317.3763,199366.0631,199463.4603,199220.0467,199293.0263,199171.406,199171.406,199804.7612,200000
1,2,0.4202910085,0.5123324034,12.15645789,60.79713339,72.95359128,48.828125,199463.4603,199317.3763,199366.0631,199463.4603,199159.2496,199293.0263,199171.406,199159.2496,199804.7612,200000
1,1,0.060130074,0.060130074,12.16536721,12.16536721,12.16536721,12.20703125,199463.4603,199305.211,199366.0631,199463.4603,199159.2496,199293.0263,199171.406,199159.2496,199804.7612,200000
1,1,0.060130074,0.060130074,12.16462469,12.16462469,12.16462469,12.20703125,199463.4603,199293.0463,199366.0631,199463.4603,199159.2496,199293.0263,199171.406,199159.2496,199804.7612,200000
1,2,0.4202910085,0.4232085871,24.31143183,158.1081921,182.4196239,48.828125,199463.4603,199134.9381,199366.0631,199463.4603,199159.2496,199293.0263,199171.406,199134.9381,199804.7612,200000
1,1,0.060130074,0.060130074,12.15423206,12.15423206,12.15423206,12.20703125,199463.4603,199122.7839,199366.0631,199463.4603,199159.2496,199293.0263,199171.406,199134.9381,199804.7612,200000
1,2,1.191961616,1.533174279,133.802691,304.2367078,438.0393987,292.96875,199159.2236,199122.7839,199366.0631,199463.4603,199159.2496,199159.2236,199171.406,199134.9381,199804.7612,200000
1,2,0.4769069878,0.4774369521,24.34856693,365.6495228,389.9980897,48.828125,199159.2236,199122.7839,199366.0631,199439.1117,199159.2496,199159.2236,199171.406,199134.9381,199439.1117,200000
1,1,0.060130074,0.060130074,12.15349023,12.15349023,12.15349023,12.20703125,199159.2236,199110.6304,199366.0631,199439.1117,199159.2496,199159.2236,199171.406,199134.9381,199439.1117,200000
1,1,0.8379049459,0.8379049459,121.6833881,121.6833881,121.6833881,122.0703125,199159.2236,199110.6304,199244.3797,199439.1117,199159.2496,199159.2236,199171.406,199134.9381,199439.1117,200000
1,2,0.815818586,0.8191942223,24.31142866,304.1995695,328.5109981,122.0703125,199134.9122,199110.6304,199244.3797,199134.9122,199159.2496,199159.2236,199171.406,199134.9381,199439.1117,200000
1,2,0.3686789599,0.4926956802,24.31143183,304.1735889,328.4850208,48.828125,199134.9122,199110.6304,199244.3797,199134.9122,199134.9381,199159.2236,199171.406,199134.9381,199134.9381,200000
1,1,0.1674478818,0.1674478818,12.15423206,12.15423206,12.15423206,12.20703125,199134.9122,199110.6304,199244.3797,199134.9122,199134.9381,199159.2236,199171.406,199134.9381,199122.7839,200000
1,1,0.060130074,0.060130074,12.15274844,12.15274844,12.15274844,12.20703125,199134.9122,199098.4777,199244.3797,199134.9122,199134.9381,199159.2236,199171.406,199134.9381,199122.7839,200000
1,2,0.4769069878,0.4774369521,24.33443992,36.46269143,60.79713135,48.828125,199134.9122,199098.4777,199244.3797,199098.4495,199134.9381,199159.2236,199171.406,199134.9381,199098.4495,200000
1,2,0.815818586,0.8179068637,48.61692191,85.07961335,133.6965353,122.0703125,199049.8325,199098.4777,199244.3797,199098.4495,199134.9381,199159.2236,199171.406,199134.9381,199049.8325,200000
1,1,0.1674478818,0.1674478818,12.14903763,12.14903763,12.14903763,12.20703125,199049.8325,199098.4777,199244.3797,199098.4495,199134.9381,199159.2236,199171.406,199134.9381,199037.6835,200000
1,2,0.815818586,0.8191942223,36.44711289,85.0640348,121.5111477,122.0703125,199013.3854,199098.4777,199244.3797,199013.3854,199134.9381,199159.2236,199171.406,199134.9381,199037.6835,200000
1,2,0.4202910085,0.5123324034,36.46269619,36.46269619,72.92539238,48.828125,199013.3854,199098.4777,199244.3797,199013.3854,199098.4754,199159.2236,199171.406,199098.4754,199037.6835,200000
1,1,0.060130074,0.060130074,12.15200669,12.15200669,12.15200669,12.20703125,199013.3854,199086.3257,199244.3797,199013.3854,199098.4754,199159.2236,199171.406,199098.4754,199037.6835,200000
1,2,0.8719440632,0.8868434135,48.63399296,121.5645789,170.1985718,146.484375,199013.3854,199086.3257,199244.3797,199013.3854,199049.8414,199159.2236,199049.8414,199098.4754,199037.6835,200000
1,2,0.3686789599,0.563944452,12.14903817,60.78303114,72.93206931,48.828125,199013.3854,199086.3257,199244.3797,199013.3854,199037.6924,199159.2236,199049.8414,199037.6924,199037.6835,200000
1,1,0.060130074,0.060130074,12.15126499,12.15126499,12.15126499,12.20703125,199013.3854,199074.1744,199244.3797,199013.3854,199037.6924,199159.2236,199049.8414,199037.6924,199037.6835,200000
1,1,0.060130074,0.060130074,12.15052334,12.15052334,12.15052334,12.20703125,199013.3854,199062.0239,199244.3797,199013.3854,199037.6924,199159.2236,199049.8414,199037.6924,199037.6835,200000
1,2,1.191961616,1.216920685,72.96025384,194.4914293,267.4516831,292.96875,199013.3854,199062.0239,199244.3797,199013.3854,198964.7322,198964.7322,199049.8414,199037.6924,199037.6835,200000
