Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25,Node energy 26,Node energy 27,Node energy 28,Node energy 29,Node energy 30,Node energy 31,Node energy 32,Node energy 33,Node energy 34,Node energy 35,Node energy 36,Node energy 37,Node energy 38,Node energy 39,Node energy 40,Node energy 41,Node energy 42,Node energy 43,Node energy 44,Node energy 45,Node energy 46,Node energy 47,Node energy 48,Node energy 49,Node energy 50,Node energy 51,Node energy 52,Node energy 53,Node energy 54,Node energy 55,Node energy 56,Node energy 57,Node energy 58,Node energy 59,Node energy 60,Node energy 61,Node energy 62,Node energy 63,Node energy 64,Node energy 65,Node energy 66,Node energy 67,Node energy 68,Node energy 69,Node energy 70,Node energy 71,Node energy 72,Node energy 73,Node energy 74,Node energy 75,Node energy 76,Node energy 77,Node energy 78,Node energy 79,Node energy 80,Node energy 81,Node energy 82,Node energy 83,Node energy 84,Node energy 85,Node energy 86,Node energy 87,Node energy 88,Node energy 89,Node energy 90,Node energy 91,Node energy 92,Node energy 93,Node energy 94,Node energy 95,Node energy 96,Node energy 97,Node energy 98,Node energy 99,Node energy 100
1,2,0.38247582,0.38360681,12.329102,12.329102,24.658203,24.658203,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1978.8818,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,1987.6709,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,2000,2000,2000,2000,2000,2000,1957.3975,1953.6133,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.36988343,0.37156787,2.9809773,28.249532,31.230509,22.949219,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,1987.6709,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,2000,2000,2000,2000,2000,2000,1957.3975,1950.6323,1972.9004,2000,2000,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.47788988,0.4946162,20.141602,20.141602,40.283203,40.283203,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,2000,2000,2000,2000,2000,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,1987.6709,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,2000,2000,1957.3975,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.59720295,0.60110523,30.273438,30.273438,60.546875,60.546875,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,2000,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,1987.6709,2000,1989.624,2000,2000,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,2000,2000,1957.3975,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.37413184,0.37869018,11.84082,11.84082,23.681641,23.681641,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,2000,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,2000,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,1988.1592,2000,1957.3975,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.71539634,0.78251174,50.292969,50.292969,100.58594,84.228516,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,2000,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,1949.707,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,2000,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,1949.707,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,1988.1592,2000,1957.3975,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
0,1,0.71690496,0.32947443,42.602539,42.602539,85.205078,85.205078,2000,2000,2000,2000,2000,2000,2000,1975.3418,2000,2000,1957.3975,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,1949.707,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,1957.3975,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,1949.707,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,1988.1592,2000,1957.3975,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,2000,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.63480906,0.63650911,38.94043,38.94043,77.880859,66.40625,2000,2000,2000,1961.0596,2000,2000,2000,1975.3418,2000,2000,1957.3975,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,1949.707,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,1957.3975,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,1949.707,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,1988.1592,2000,1957.3975,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,1961.0596,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.31532781,0.32205892,1.7920509,19.736387,21.528438,22.705078,2000,2000,2000,1961.0596,2000,2000,2000,1955.6054,2000,2000,1957.3975,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,1949.707,2000,1991.8255,1924.5605,2000,2000,2000,2000,2000,2000,1987.6709,2000,1957.3975,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,1949.707,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,2000,2000,1948.7305,2000,1979.8584,2000,2000,2000,1988.1592,2000,1955.6054,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,1961.0596,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.60551127,0.61702374,31.494141,31.494141,62.988281,62.988281,2000,2000,2000,1961.0596,2000,2000,2000,1955.6054,2000,2000,1957.3975,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,1949.707,2000,1991.8255,1924.5605,2000,2000,1968.5059,2000,2000,2000,1987.6709,2000,1957.3975,1989.624,2000,2000,2000,2000,2000,1972.9004,2000,1949.707,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,1968.5059,2000,1948.7305,2000,1979.8584,2000,2000,2000,1988.1592,2000,1955.6054,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,1961.0596,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
1,2,0.4493745,0.4758962,19.775391,19.775391,39.550781,33.691406,2000,2000,2000,1961.0596,2000,2000,2000,1955.6054,2000,2000,1957.3975,1924.5605,2000,2000,2000,1991.8255,1950.6323,2000,2000,1957.3975,2000,2000,1923.4619,1969.7266,1969.7266,2000,2000,1949.707,2000,1991.8255,1924.5605,2000,2000,1968.5059,2000,2000,2000,1987.6709,2000,1957.3975,1989.624,1980.2246,2000,2000,2000,2000,1972.9004,2000,1949.707,2000,1987.6709,2000,1989.624,2000,1988.1592,1968.9778,2000,2000,1968.9778,2000,2000,2000,2000,1975.3418,2000,2000,2000,2000,1968.5059,2000,1948.7305,1980.2246,1979.8584,2000,2000,2000,1988.1592,2000,1955.6054,1950.6323,1972.9004,2000,1979.8584,2000,2000,2000,1968.6279,1961.0596,2000,1953.6133,2000,1993.042,1923.4619,2000,2000,2000,1968.6279,1948.7305,2000,2000
